		SY					MLE			
rho	p	Bias	SE	SEE	CP		Bias	SE	SEE	CP
-0.5	0.1	0.587124710119784	0.0855978707186963	0.0853181130650632	0		0.00369509094622794	0.03414341863255	0.0337690832944495	0.9465
-0.5	0.3	0.561877303493483	0.0970877578765435	0.0960830862801107	1e-04		0.00295234809031203	0.0369177379407525	0.0364868745927598	0.9468
-0.5	0.6	0.524335174910687	0.108920208370828	0.108472640300371	0.0022		0.00227994263093001	0.0395683310103428	0.0394505407857102	0.9497
-0.5	1	0.481809038564907	0.121941661356212	0.121368143993765	0.0179		0.00138996618919457	0.0431677310957292	0.0420319429143023	0.9434
-0.3	0.1	0.587130843850494	0.0855307356243754	0.0852249228727109	0		0.00354031492089568	0.0341998141544473	0.0337955862655009	0.946
-0.3	0.3	0.561901212335573	0.0968987533799085	0.095855352011517	2e-04		0.00277431189223432	0.0371190061647326	0.0366280903457789	0.9461
-0.3	0.6	0.524224310893028	0.108611743190553	0.108091393436291	0.002		0.00215439158753794	0.0398442669051451	0.0397191807807746	0.9504
-0.3	1	0.481834766535442	0.121330209502092	0.120843893655526	0.0184		0.00114487414694969	0.0435647730985039	0.0424067540627678	0.9431
0	0.1	0.587302122419689	0.0857382745621836	0.0851543179147573	0		0.00313054520273903	0.0340577053806761	0.0338129348910971	0.9456
0	0.3	0.562027954367522	0.0969460537288825	0.0956521155371083	1e-04		0.00274152946270917	0.0370638555249254	0.0366958214576672	0.9462
0	0.6	0.525585546393914	0.108258405069578	0.10790872116491	0.0019		0.00213869401766215	0.0400200641991715	0.0398330894190939	0.9486
0	1	0.482203584623666	0.119508024600628	0.120589885482762	0.0178		0.00104333406430657	0.0434962470108166	0.0425482700825667	0.9419
0.3	0.1	0.587289520051368	0.0855826250619941	0.0852169350299326	0		0.00314636070633667	0.0339090416133614	0.0337982855588483	0.9467
0.3	0.3	0.561603662142999	0.0959306821423911	0.0957778688001678	1e-04		0.00306878150901518	0.0367172103795363	0.0366162413939546	0.9482
0.3	0.6	0.526729089482454	0.108032091120696	0.108221613611588	0.001		0.00212377620234244	0.0400715805710404	0.0397083059553393	0.9457
0.3	1	0.482662567876243	0.120770687961158	0.120823332805117	0.0202		0.00104784555082565	0.0434533743917563	0.0423726620370244	0.9413
0.5	0.1	0.587210334825684	0.0857064696271412	0.0853099494893846	0		0.00322781944998829	0.0338363521299841	0.0337648364349509	0.9465
0.5	0.3	0.561421270341226	0.0961203053114201	0.0960082785226998	1e-04		0.00317624627761381	0.0365408356745469	0.0364515453654131	0.9489
0.5	0.6	0.526699702800333	0.108453440478706	0.108596939921345	0.0015		0.0022989963685402	0.0397538495171951	0.0394687521180914	0.9453
0.5	1	0.482880441329412	0.121408746367655	0.121340363691069	0.0205		0.00129677193525984	0.0430703065689854	0.0420341854408483	0.9414
